State,Establishments,Population,DUI_Count,Alc_Imp_Accidents,Total Accidents
Alabama,250,4849377,14991,210,783
Alaska,165,736732,5538,24,60
Arizona,598,6731484,39746,226,810
Arkansas,125,2966369,11707,117,472
California,3253,38802500,214828,687,2925
Colorado,755,5355866,28198,158,506
Connecticut,318,3596677,8235,88,253
Delaware,70,935614,215,34,122
District of Columbia,150,658893,*****,5,23
Florida,1796,19893297,61852,600,2699
Georgia,434,10097343,25421,288,1327
Hawaii,237,1419561,5812,24,86
Idaho,314,1634464,11850,70,198
Illinois,2651,12880580,4909,264,914
Indiana,970,6596855,23475,142,756
Iowa,912,3107126,14147,80,282
Kansas,378,2904021,13080,70,322
Kentucky,313,4413457,2363,192,694
Louisiana,826,4649676,7977,238,674
Maine,114,1330089,7270,68,144
Maryland,512,5976407,23714,143,472
Massachusetts,819,6745408,12941,68,291
Michigan,1388,9909877,35534,241,893
Minnesota,947,5457173,29832,111,375
Mississippi,117,2994079,11629,124,604
Missouri,662,6063589,34004,209,802
Montana,572,1023579,4240,87,204
Nebraska,549,1881503,13692,67,218
Nevada,704,2839099,14445,86,296
New Hampshire,29,1326813,4571,33,103
New Jersey,1024,8938175,24313,89,522
New Mexico,103,2085572,9741,74,269
New York,3357,19746227,25169,218,1046
North Carolina,643,9943964,49599,379,1275
North Dakota,415,739482,4003,49,111
Ohio,2030,11594163,19088,316,1029
Oklahoma,404,3878051,18980,161,588
Oregon,867,3970239,17015,153,412
Pennsylvania,2713,12787209,53319,329,1102
Rhode Island,243,1055173,2778,18,41
South Carolina,354,4832482,14742,283,909
South Dakota,333,853175,6190,40,115
Tennessee,331,6549352,26322,249,884
Texas,2687,26956958,90066,798,3124
Utah,174,2942902,6894,44,256
Vermont,97,626562,2647,14,50
Virginia,156,8326289,27732,207,711
Washington,849,7061530,34952,149,516
West Virginia,411,1850326,4429,70,246
Wisconsin,2699,5757564,40549,171,523
Wyoming,171,584153,7159,52,129
